,lat,log,county
708,18.01631,-66.61263,Ponce
709,18.016332,-66.532833,Juana Díaz
710,18.01635,-66.61871,Ponce
711,18.016351,-65.860506,Maunabo
712,18.016458,-66.599146,Ponce
713,18.016483,-66.61154,Ponce
714,18.01654,-66.62935,Ponce
715,18.016658,-66.028341,Patillas
716,18.01667,-66.62895,Ponce
717,18.01668,-66.62929,Ponce
718,18.016687,-66.791932,Guayanilla
719,18.016687,-66.791932,Guayanilla
720,18.0167,-66.61875,Ponce
721,18.016844,-66.029075,Patillas
722,18.017011,-66.612716,Ponce
723,18.0174,-66.79,Guayanilla
724,18.01742,-66.7897,Guayanilla
725,18.017445,-66.794875,Guayanilla
726,18.017448,-66.790562,Guayanilla
727,18.017448,-66.790562,Guayanilla
728,18.017863,-65.893608,Maunabo
729,18.018083,-66.529723,Juana Díaz
730,18.018106,-66.789707,Guayanilla
731,18.01866,-66.60216,Ponce
732,18.018667,-65.940288,Maunabo
733,18.018792,-65.92417,Maunabo
734,18.018792,-65.92417,Maunabo
735,18.018811,-66.793704,Guayanilla
736,18.018829,-66.619455,Ponce
737,18.018836,-66.584034,Ponce
738,18.01906,-65.940598,Maunabo
739,18.01934,-66.52624,Juana Díaz
740,18.01947,-66.61628,Ponce
741,18.01951,-66.583957,Ponce
742,18.0197,-66.878711,Yauco
743,18.01976,-66.56192,Ponce
744,18.019761,-66.611025,Ponce
745,18.019837,-66.614623,Ponce
746,18.02002,-66.61021,Ponce
747,18.02002,-66.56135,Ponce
748,18.020111,-66.05737,Arroyo
749,18.020157,-66.764729,Guayanilla
750,18.020218,-66.792488,Guayanilla
751,18.020673,-65.893043,Maunabo
752,18.021161,-66.835023,Yauco
753,18.021161,-66.835025,Yauco
754,18.021444,-65.836448,Yabucoa
755,18.02148,-66.57784,Ponce
756,18.021865,-65.84597,Yabucoa
757,18.02189,-66.603918,Ponce
758,18.022036,-65.841427,Yabucoa
759,18.022061,-65.922694,Maunabo
760,18.022132,-65.929851,Maunabo
761,18.022275,-66.010045,Patillas
762,18.02234,-66.78797,Guayanilla
763,18.02236,-66.56027,Ponce
764,18.02236,-66.56027,Ponce
765,18.022694,-65.836098,Yabucoa
766,18.022695,-66.076877,Arroyo
767,18.022749,-66.076744,Arroyo
768,18.023283,-65.919733,Maunabo
769,18.02334,-66.59741,Ponce
770,18.023384,-66.683254,Ponce
771,18.023555,-66.597477,Ponce
772,18.02374,-66.61258,Ponce
773,18.0239,-67.0748,Lajas
774,18.02393,-66.13072,Guayama
775,18.02399,-66.78564,Guayanilla
776,18.02437,-66.60615,Ponce
777,18.02442,-66.78817,Guayanilla
778,18.02442,-66.78817,Guayanilla
779,18.024494,-66.333734,Coamo
780,18.02468,-66.60669,Ponce
781,18.02483,-66.14564,Guayama
782,18.02486,-66.84225,Yauco
783,18.02486,-66.84225,Yauco
784,18.02486,-66.84225,Yauco
785,18.02486,-66.84225,Yauco
786,18.02486,-66.84225,Yauco
787,18.02486,-66.84225,Yauco
788,18.02486,-66.84225,Yauco
789,18.024864,-66.842255,Yauco
790,18.024864,-66.842255,Yauco
791,18.024864,-66.842255,Yauco
792,18.02493,-66.59673,Ponce
793,18.025089,-66.250091,Salinas
794,18.025786,-65.843022,Yabucoa
795,18.0258,-66.5898,Ponce
796,18.026269,-66.489194,Juana Díaz
797,18.026339,-66.060288,Arroyo
798,18.026339,-66.060288,Arroyo
799,18.026439,-66.589568,Ponce
800,18.026439,-66.589568,Ponce
801,18.026439,-66.589568,Ponce
802,18.026439,-66.589568,Ponce
803,18.026439,-66.589568,Ponce
804,18.026439,-66.589568,Ponce
805,18.026439,-66.599568,Ponce
806,18.026439,-66.589568,Ponce
807,18.026449,-65.94664,Maunabo
808,18.026652,-65.85391,Yabucoa
809,18.026652,-65.85391,Yabucoa
810,18.026652,-65.85391,Yabucoa
811,18.026919,-67.170271,Cabo Rojo
812,18.0271,-66.866,Yauco
813,18.027255,-66.249476,Salinas
814,18.02735,-66.5971,Ponce
815,18.02735,-66.5971,Ponce
816,18.027384,-66.862967,Yauco
817,18.027394,-66.333062,Coamo
818,18.02746,-66.79275,Guayanilla
819,18.02752,-66.49012,Juana Díaz
820,18.0276,-66.5899,Ponce
821,18.027769,-66.247346,Salinas
822,18.028098,-66.539153,Juana Díaz
823,18.02824,-66.539075,Juana Díaz
824,18.02826,-66.51757,Juana Díaz
825,18.0285,-66.791,Guayanilla
826,18.0285,-66.8617,Yauco
827,18.0286,-67.13495,Cabo Rojo
828,18.02896,-66.79592,Guayanilla
829,18.02926,-66.01072,Patillas
830,18.029281,-67.165871,Cabo Rojo
831,18.029313,-65.832469,ZMunicipio
832,18.02943,-66.60607,Ponce
833,18.02943,-66.60607,Ponce
834,18.029793,-66.513578,Juana Díaz
835,18.03,-66.6088,Ponce
836,18.03024,-66.859191,Yauco
837,18.03031,-66.65839,Ponce
838,18.030379,-65.831547,ZMunicipio
839,18.030565,-66.593728,Ponce
840,18.0307,-66.0062,Patillas
841,18.030702,-66.01122,Patillas
842,18.030845,-66.001196,Patillas
843,18.031294,-67.173411,Cabo Rojo
844,18.031515,-66.661736,Ponce
845,18.031793,-65.952822,Maunabo
846,18.031793,-65.952822,Maunabo
847,18.031915,-66.844717,Yauco
848,18.031915,-66.844717,Yauco
849,18.031915,-66.844717,Yauco
850,18.03205,-66.40216,Santa Isabel
851,18.03205,-66.40216,Santa Isabel
852,18.032057,-66.592242,Ponce
853,18.0323,-66.6041,Ponce
854,18.032321,-66.886423,Yauco
855,18.032392,-66.51021,Juana Díaz
856,18.03262,-66.59103,Ponce
857,18.03288,-66.85402,Yauco
858,18.0329,-66.9111,Sabana Grande
859,18.03298,-66.84353,Yauco
860,18.033026,-66.861066,Yauco
861,18.033033,-65.844441,Yabucoa
862,18.033082,-65.950685,Maunabo
863,18.03324,-66.84506,Yauco
864,18.0333,-66.850978,Yauco
865,18.03334,-66.851921,Yauco
866,18.03334,-66.851921,Yauco
867,18.03334,-66.851921,Yauco
868,18.03334,-66.851921,Yauco
869,18.03334,-66.851921,Yauco
870,18.03334,-66.851921,Yauco
871,18.03334,-66.851921,Yauco
872,18.03334,-66.851921,Yauco
873,18.03334,-66.851921,Yauco
874,18.03334,-66.851921,Yauco
875,18.03334,-66.851921,Yauco
876,18.03334,-66.851921,Yauco
877,18.03334,-66.851921,Yauco
878,18.03334,-66.851921,Yauco
879,18.03334,-66.851921,Yauco
880,18.03334,-66.851921,Yauco
881,18.03334,-66.851921,Yauco
882,18.03334,-66.851921,Yauco
883,18.033402,-66.001196,Patillas
884,18.033409,-66.84845,Yauco
885,18.033409,-66.84845,Yauco
886,18.033442,-66.846965,Yauco
887,18.03352,-66.85305,Yauco
888,18.0336,-66.1039,Guayama
889,18.033646,-65.947047,Maunabo
890,18.0337,-66.6328,Ponce
891,18.03393,-66.850473,Yauco
892,18.034,-66.85246,Yauco
893,18.03411,-66.64662,Ponce
894,18.034185,-66.849285,Yauco
895,18.034185,-66.849285,Yauco
896,18.034185,-66.849285,Yauco
897,18.034185,-66.849285,Yauco
898,18.034185,-66.849285,Yauco
899,18.034185,-66.849285,Yauco
900,18.034185,-66.849285,Yauco
901,18.034185,-66.849285,Yauco
902,18.034185,-66.849285,Yauco
903,18.034185,-66.849285,Yauco
904,18.034185,-66.849285,Yauco
905,18.034185,-66.849285,Yauco
906,18.034185,-66.849285,Yauco
907,18.034185,-66.849285,Yauco
908,18.034185,-66.849285,Yauco
909,18.034185,-66.849285,Yauco
910,18.034185,-66.849285,Yauco
911,18.034185,-66.849285,Yauco
912,18.034185,-66.849285,Yauco
913,18.034185,-66.849285,Yauco
914,18.034185,-66.849285,Yauco
915,18.034185,-66.849285,Yauco
916,18.034185,-66.849285,Yauco
917,18.034185,-66.849285,Yauco
918,18.034185,-66.849285,Yauco
919,18.034226,-66.594526,Ponce
920,18.034321,-66.849438,Yauco
921,18.034592,-66.849376,Yauco
922,18.034606,-66.851259,Yauco
923,18.03464,-66.64583,Ponce
924,18.034677,-66.503224,Juana Díaz
925,18.03478,-66.84757,Yauco
926,18.034804,-66.502865,Juana Díaz
927,18.03499,-65.83619,Yabucoa
928,18.03511,-66.61445,Ponce
929,18.035157,-66.502872,Juana Díaz
930,18.03527,-66.64623,Ponce
931,18.03527,-66.64623,Ponce
932,18.035301,-66.850893,Yauco
933,18.035346,-65.915102,Yabucoa
934,18.035524,-66.8061,Guayanilla
935,18.035569,-66.666299,Ponce
936,18.03564,-66.66232,Ponce
937,18.03566,-66.59574,Ponce
938,18.035664,-67.01381,Lajas
939,18.035756,-66.870078,Yauco
940,18.035756,-66.870078,Yauco
941,18.035756,-66.870078,Yauco
942,18.03604,-66.66281,Ponce
943,18.036181,-66.59529,Ponce
944,18.0363,-66.59491,Ponce
945,18.03632,-66.66196,Ponce
946,18.03642,-66.33115,Coamo
947,18.03659,-66.59453,Ponce
948,18.03662,-66.62922,Ponce
949,18.03664,-66.622936,Ponce
950,18.03666,-66.59479,Ponce
951,18.036738,-66.49667,Juana Díaz
952,18.03733,-65.846075,Yabucoa
953,18.03733,-65.846075,Yabucoa
954,18.037562,-65.876718,Yabucoa
955,18.03765,-66.84552,Yauco
956,18.03777,-66.16739,Guayama
957,18.03796,-65.99965,Patillas
958,18.03816,-66.81823,Guayanilla
959,18.03818,-66.58823,Ponce
960,18.038225,-66.660282,Ponce
961,18.038292,-66.601954,Ponce
962,18.038306,-66.68291,Ponce
963,18.03832,-66.01641,Patillas
964,18.03841,-65.840123,Yabucoa
965,18.03855,-66.6826,Ponce
966,18.03858,-65.846806,Yabucoa
967,18.03859,-66.58788,Ponce
968,18.038608,-66.464889,Juana Díaz
969,18.038608,-66.464889,Juana Díaz
970,18.038608,-66.464889,Juana Díaz
971,18.038651,-65.876516,Yabucoa
972,18.038651,-65.876516,Yabucoa
973,18.038679,-65.962784,Maunabo
974,18.038679,-65.962784,Maunabo
975,18.03879,-66.68307,Ponce
976,18.0389,-66.38643,Santa Isabel
977,18.03896,-66.81607,Guayanilla
978,18.039017,-66.006408,Patillas
979,18.03927,-67.05563,Lajas
980,18.0393,-66.60987,Ponce
981,18.039409,-65.838493,Yabucoa
982,18.039492,-66.00493,Patillas
983,18.039631,-66.613747,Ponce
984,18.039871,-66.550318,Ponce
985,18.0399,-65.8647,Yabucoa
986,18.03995,-66.614444,Ponce
987,18.040098,-67.057047,Lajas
988,18.04035,-65.87862,Yabucoa
989,18.040405,-66.562816,Ponce
990,18.040969,-66.529988,Juana Díaz
991,18.04097,-66.52999,Juana Díaz
992,18.041019,-65.874525,Yabucoa
993,18.0411,-65.8876,Yabucoa
994,18.041153,-66.895963,Yauco
995,18.041254,-66.592957,Ponce
996,18.041321,-66.593521,Ponce
997,18.041447,-67.057397,Lajas
998,18.041619,-66.552477,Ponce
999,18.041629,-66.592391,Ponce
1000,18.04168,-66.362214,Coamo
1001,18.041747,-66.566363,Ponce
1002,18.041774,-66.592248,Ponce
1003,18.04189,-66.59274,Ponce
1004,18.041892,-66.592118,Ponce
1005,18.042027,-66.553072,Ponce
1006,18.042114,-66.59193,Ponce
1007,18.04214,-66.79246,Guayanilla
1008,18.042184,-67.054146,Lajas
1009,18.042315,-66.362511,Coamo
1010,18.042361,-65.876215,Yabucoa
1011,18.042604,-67.055236,Lajas
1012,18.04261,-67.05636,Lajas
1013,18.042646,-65.880464,Yabucoa
1014,18.042672,-65.883365,Yabucoa
1015,18.042672,-65.883365,Yabucoa
1016,18.04274,-65.875214,Yabucoa
1017,18.042894,-66.574664,Ponce
1018,18.042911,-66.362965,Coamo
1019,18.042962,-66.646704,Ponce
1020,18.042967,-65.907514,Yabucoa
1021,18.042985,-65.874289,Yabucoa
1022,18.04299,-66.64731,Ponce
1023,18.043051,-66.462197,Juana Díaz
1024,18.04317,-65.8831,Yabucoa
1025,18.043172,-66.57481,Ponce
1026,18.043172,-66.57481,Ponce
1027,18.043172,-66.57481,Ponce
1028,18.043172,-66.57481,Ponce
1029,18.043172,-66.57481,Ponce
1030,18.043172,-66.57481,Ponce
1031,18.043174,-65.864671,Yabucoa
1032,18.043273,-66.50063,Juana Díaz
1033,18.043279,-65.906887,Yabucoa
1034,18.043442,-65.907874,Yabucoa
1035,18.043502,-66.801188,Guayanilla
1036,18.043503,-66.363024,Coamo
1037,18.043633,-66.49419,Juana Díaz
1038,18.043917,-65.860933,Yabucoa
1039,18.043927,-67.060126,Lajas
1040,18.043972,-65.856181,Yabucoa
1041,18.043972,-65.856181,Yabucoa
1042,18.043972,-65.856181,Yabucoa
1043,18.044103,-66.581068,Ponce
1044,18.0442,-67.1054,Lajas
1045,18.044216,-65.8558,Yabucoa
1046,18.04422,-66.85186,Yauco
1047,18.0443,-65.86749,Yabucoa
1048,18.044354,-65.856246,Yabucoa
1049,18.044354,-65.856246,Yabucoa
1050,18.044364,-65.855033,Yabucoa
1051,18.044477,-65.856315,Yabucoa
1052,18.0446,-65.8838,Yabucoa
1053,18.04467,-65.856246,Yabucoa
1054,18.044675,-65.855752,Yabucoa
1055,18.044675,-65.855752,Yabucoa
1056,18.044767,-66.505041,Juana Díaz
1057,18.044814,-65.889891,Yabucoa
1058,18.044906,-65.889836,Yabucoa
1059,18.045011,-65.871628,Yabucoa
1060,18.04504,-65.85595,Yabucoa
1061,18.045077,-65.856377,Yabucoa
1062,18.045078,-65.856948,Yabucoa
1063,18.045122,-66.49155,Juana Díaz
1064,18.045367,-65.889781,Yabucoa
1065,18.045378,-65.88975,Yabucoa
1066,18.045436,-66.54919,Ponce
1067,18.045465,-66.54884,Ponce
1068,18.04549,-66.80695,Guayanilla
1069,18.04551,-66.49073,Juana Díaz
1070,18.04554,-66.557944,Ponce
1071,18.04565,-66.720818,Peñuelas
1072,18.045796,-65.873051,Yabucoa
1073,18.045971,-66.491919,Juana Díaz
1074,18.045979,-66.549545,Ponce
1075,18.046079,-66.838299,Yauco
1076,18.046209,-66.525172,Juana Díaz
1077,18.046248,-66.7176,Peñuelas
1078,18.046257,-66.526502,Juana Díaz
1079,18.046281,-66.343827,Coamo
1080,18.046281,-66.343827,Coamo
1081,18.046306,-66.526938,Juana Díaz
1082,18.046374,-65.8973,Yabucoa
1083,18.046586,-66.548569,Ponce
1084,18.0466,-65.8721,Yabucoa
1085,18.046619,-65.875839,Yabucoa
1086,18.046619,-65.875839,Yabucoa
1087,18.046619,-65.875839,Yabucoa
1088,18.046758,-66.363545,Coamo
1089,18.046819,-65.919625,Yabucoa
1090,18.046819,-65.919625,Yabucoa
1091,18.046829,-65.919681,Yabucoa
1092,18.04683,-65.91968,Yabucoa
1093,18.04692,-65.879959,Yabucoa
1094,18.046928,-65.872394,Yabucoa
1095,18.047,-65.8724,Yabucoa
1096,18.04702,-65.88062,Yabucoa
1097,18.047263,-66.492929,Juana Díaz
1098,18.047263,-66.492929,Juana Díaz
1099,18.04727,-65.87524,Yabucoa
1100,18.047299,-66.558612,Ponce
1101,18.047299,-66.558612,Ponce
1102,18.047515,-66.558486,Ponce
1103,18.047515,-66.558486,Ponce
1104,18.04753,-65.88063,Yabucoa
1105,18.047636,-66.492531,Juana Díaz
1106,18.047688,-65.888433,Yabucoa
1107,18.04769,-65.88843,Yabucoa
1108,18.047711,-66.612652,Ponce
1109,18.048112,-65.885211,Yabucoa
1110,18.048222,-66.363925,Coamo
1111,18.048247,-66.363915,Coamo
1112,18.048247,-66.54778,Ponce
1113,18.048307,-66.037,Patillas
1114,18.048538,-66.497915,Juana Díaz
1115,18.048848,-66.871361,Yauco
1116,18.048853,-65.878911,Yabucoa
1117,18.048924,-66.59481,Ponce
1118,18.04921,-66.5479,Ponce
1119,18.049477,-66.547775,Ponce
1120,18.049516,-66.505961,Juana Díaz
1121,18.049516,-66.505961,Juana Díaz
1122,18.049682,-66.548171,Ponce
1123,18.049682,-66.548171,Ponce
1124,18.049682,-66.548171,Ponce
1125,18.049682,-66.548171,Ponce
1126,18.049942,-65.883138,Yabucoa
1127,18.050043,-65.975346,Maunabo
1128,18.0501,-66.4054,Coamo
1129,18.05022,-65.87427,Yabucoa
1130,18.050249,-65.831344,Yabucoa
1131,18.050281,-65.880047,Yabucoa
1132,18.050406,-66.07708,Patillas
1133,18.050424,-65.976126,Maunabo
1134,18.050645,-66.529188,Juana Díaz
1135,18.0508,-66.3673,Coamo
1136,18.05083,-66.64378,Ponce
1137,18.050989,-66.512346,Juana Díaz
1138,18.05115,-65.88331,Yabucoa
1139,18.05116,-67.12636,Cabo Rojo
1140,18.051216,-66.719362,Peñuelas
1141,18.05128,-65.980604,Maunabo
1142,18.05142,-66.587087,Ponce
1143,18.051441,-66.586015,Ponce
